-1.5849708	-1.5451069	1.6381865	1.5418662	-1.5508972	-1.5786644	-1.5498857	-1.645466	1.6774985	-1.6266989	-1.5711851	1.6192228	-1.6302961	-1.5769244	1.5777345	1.5613647
-1.613613	-1.5405604	1.6252909	1.530208	-1.6332195	-1.5482861	-1.6079482	-1.5876559	1.6793201	-1.556542	-1.5836136	1.6137811	-1.5584962	-1.5129693	1.5916109	1.5311718
-1.5874944	-1.5616901	1.5594199	1.5449663	-1.6293584	-1.607262	-1.6000803	-1.5967258	1.6054368	-1.571285	-1.5977455	1.6313816	-1.5684932	-1.559146	1.6490463	1.4979906
-1.6452957	-1.514976	1.6136063	1.4460728	-1.6166933	-1.5519412	-1.549526	-1.5766428	1.5971711	-1.5964272	-1.6007684	1.5915914	-1.5404983	-1.5959879	1.5719136	1.5301831
-1.6669103	-1.537674	1.6277902	1.5344745	-1.5741767	-1.5638232	-1.6073812	-1.6352458	1.605662	-1.5804461	-1.5250582	1.6237772	-1.5782162	-1.533925	1.5670822	1.5407288
-1.6490824	-1.5781325	1.5815997	1.4942569	-1.6183834	-1.6009432	-1.5782596	-1.660692	1.6582406	-1.6111106	-1.5726603	1.5731577	-1.5799735	-1.6007227	1.6606517	1.5215678
-1.669119	-1.5823647	1.5463825	1.4846424	-1.5649698	-1.5903906	-1.5646471	-1.6319056	1.6898749	-1.5673083	-1.6038582	1.6387872	-1.5536509	-1.5668635	1.6335437	1.5489802
-1.6139193	-1.5077057	1.607405	1.4597774	-1.5463791	-1.5520388	-1.5308381	-1.5712188	1.6764334	-1.5731857	-1.509919	1.5888748	-1.537859	-1.5803089	1.6523457	1.4853818
-1.6584429	-1.5562725	1.5731026	1.4573402	-1.6174418	-1.6000342	-1.5498865	-1.5954554	1.68883	-1.5949105	-1.5636686	1.5832118	-1.5877528	-1.5081108	1.5865508	1.5323399
-1.6608407	-1.5853506	1.5830493	1.5196675	-1.6376235	-1.5938363	-1.5178583	-1.6292434	1.6407964	-1.5304188	-1.5651215	1.5432899	-1.5854102	-1.5916517	1.6512898	1.5672822
-1.5743295	-1.4900117	1.5627872	1.5015397	-1.5874376	-1.6233659	-1.5818745	-1.6355934	1.6205848	-1.5343089	-1.5643647	1.6111062	-1.5656867	-1.5480641	1.6382294	1.4879398
